topic,count,example
Galaxy S10 reviews & battery life,7,"Samsung Galaxy s10+ dual front camera test, outstanding quality. Happy with the purchase"
Galaxy Buds preorder & stock,5,Finally received my yellow Galaxy Buds. Perfectly match my Note9 S-Pen!
iPad models & comparisons,5,"iPad Pro has become truly amazing. I made this in 2.5 hours using Procreate and LumaFusion. It's not even close to a replacement for my Mac, but color me surprised."
Galaxy Buds audio problems,4,Samsung Galaxy buds issue My left is connecting but my right one is not i unpaired and paired again. And still nothing from the right.
AirPods reviews & Android use,3,"Just got my new AirPods in the mail today, can confirm the AirPower printed on the back is gone"
Screen protection & phone durability,3,I Bought a Galaxy Note 8 and Accidentally Broke its Screen within 24 Hours
Android Pie / One UI update problems,3,Multi tasking after the update? It appears impossible to multi task after the update today to my Galaxy note 8.
Android navigation gestures,2,"Samsung tab 4 vertical app display I have historically been an Apple guy but I recently purchased the Tab 4, and I'm really surprised at how many popular apps don't have a horizontal view?"
iPhone models & rumours,2,This smart iOS-happy mug may make you the envy of your office
iOS 13 features & dark mode,2,New iOS 12.2 is causing my Face ID to fail every time i use my phone.
Switching phones between brands,2,"I have a note 8, i am thinking about getting a pixel 2 xl as a second phone. Do i still get unlimited free uploads to google photos? This is a huge selling point for me, i would like to get access to unlimited google storage. Is this still possible?"
Smartwatches: Galaxy Watch vs Apple Watch,2,"My Fitness Pal not synching from Samsung Health Anyone else having this issue? I've linked the two, unlinked and relinked. Nothing syncs to MFP. I've left it connected for about a week with no success, and just reset the link again this evening."
Samsung TVs & home AV,2,Will my samsung smart tv support airplay? I have the Qled series modelcode: QE55Q7FAM
Apple Store support & AppleCare,1,"Hello there, I recently sent my iPhone in for repair and they said that I would be free “as long as they didn’t find some other problem” and in the status I find it like this. Does this mean that they found a problem and sent it back?"
Apple Card & Apple Pay,1,Browsing old tech magazines when I stumbled across something that sounded familiar... Apple Card from 1984.
Charging & cables,1,Does this count as “fast” wireless charging for the iPhone X? I’m using a new QC3.0 wireless charger and a QC3.0 usb car adapter. Would a better usb cable make a difference? Shouldn’t I get 7.5W?
"Apple services: News+, TV+, Arcade",1,Why is there an ad in apple news+? I though that’s why I’m paying $10/month
Samsung One UI customisation (Good Lock),1,Screw this new update Cant customize massages need night mode fuck bixby will never by a samsung again apps now look cartoony hate it they lost a customer with this update
MacBook keyboard & hardware,1,"A lot of people have been complaining about the MacBook's keyboard lately, so I decided to throw together a survey to see how users here have been effected. I'll collect the data tonight and upload some graphs tomorrow."
Social app camera quality on Android,1,Instagram posts are pixelated on my Note 9. Anybody have the same problem ?
Samsung customer service & refunds,1,"Shipped phone to Samsung I traded in my s7 for the S10+, I shipped the package but I don't know if I have to let them know I sent it or do they just know?"
